groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,"7303","7578","0.48664932219635765"," ihre Forderung auf ein liegendes Gut des","0020,0069,0068,0072,0065,0020,0046,006f,0072,0064,0065,0072,0075,006e,0067,0020,0061,0075,0066,0020,0065,0069,006e,0020,006c,0069,0065,0067,0065,006e,0064,0065,0073,0020,0047,0075,0074,0020,0064,0065,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"iemand mehr gehört, und jene, die ihre ","0069,0065,006d,0061,006e,0064,0020,006d,0065,0068,0072,0020,0067,0065,0068,00f6,0072,0074,002c,0020,0075,006e,0064,0020,006a,0065,006e,0065,002c,0020,0064,0069,0065,0020,0069,0068,0072,0065,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"agen verhalten werden würden","0061,0067,0065,006e,0020,0076,0065,0072,0068,0061,006c,0074,0065,006e,0020,0077,0065,0072,0064,0065,006e,0020,0077,00fc,0072,0064,0065,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"enden Erben um die Einberufung der ","0065,006e,0064,0065,006e,0020,0045,0072,0062,0065,006e,0020,0075,006d,0020,0064,0069,0065,0020,0045,0069,006e,0062,0065,0072,0075,0066,0075,006e,0067,0020,0064,0065,0072,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"de Tyrol und Vorarlberg befindli","0064,0065,0020,0054,0079,0072,006f,006c,0020,0075,006e,0064,0020,0056,006f,0072,0061,0072,006c,0062,0065,0072,0067,0020,0062,0065,0066,0069,006e,0064,006c,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"en vorgemerkt wäre, da","0065,006e,0020,0076,006f,0072,0067,0065,006d,0065,0072,006b,0074,0020,0077,00e4,0072,0065,002c,0020,0064,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,".","002e","","","none","11"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"tigtes Vermögen von 263 fl. 45 ","0074,0069,0067,0074,0065,0073,0020,0056,0065,0072,006d,00f6,0067,0065,006e,0020,0076,006f,006e,0020,0032,0036,0033,0020,0066,006c,002e,0020,0034,0035,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"t zu werden verlangt, zu erwei","0074,0020,007a,0075,0020,0077,0065,0072,0064,0065,006e,0020,0076,0065,0072,006c,0061,006e,0067,0074,002c,0020,007a,0075,0020,0065,0072,0077,0065,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00680331-00232180.deu.xml.txt,,,,"t angemeldet haben, in ","0074,0020,0061,006e,0067,0065,006d,0065,006c,0064,0065,0074,0020,0068,0061,0062,0065,006e,002c,0020,0069,006e,0020","","","none","1"
