ocreval Accuracy Report Version 7.0
-----------------------------------
    1515   Characters
     344   Errors
   77.29%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   77.29%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     136      164       44      344   Unmarked
     136      164       44      344   Total

   Count   Missed   %Right
     278       27    90.29   ASCII Spacing Characters
      41        9    78.05   ASCII Special Symbols
      23        5    78.26   ASCII Digits
      28       11    60.71   ASCII Uppercase Letters
    1091      217    80.11   ASCII Lowercase Letters
      32        9    71.88   Latin Extended-A
       7        7     0.00   General Punctuation
      13       13     0.00   Private Use Area
       1        1     0.00   Alphabetic Presentation Forms
       1        1     0.00   Specials
    1515      300    80.20   Total

  Errors   Marked   Correct-Generated
      27        0   {A Treatiſe touching<\n>...}-{}
      18        0   {}-{reatiſe toucbing<\n>t}
      14        0   { }-{}
      10        0   {concerning}-{⏑}
      10        0   {conſcience}-{— p —}
      10        0   {}-{ſt}
       9        0   {atan , th}-{}
       9        0   {the truth}-{—}
       7        0   {Hermoge}-{}
       7        0   {and ſo }-{}
       6        0   {}-{ }
       6        0   {}-{thaſe,}
       6        0   {‑}-{-}
       5        0   {Chri}-{ciiſt}
       5        0   {do no}-{Jcu◌ᷣc}
       5        0   {f}-{t}
       5        0   {ſhall}-{ii}
       4        0   {Your}-{Vbdi}
       4        0   {cont}-{Tuc}
       4        0   {der}-{t}
       4        0   {hall}-{nii}
       4        0   {that}-{c}
       4        0   {}-{ct}
       3        0   {,c}-{. e}
       3        0   {1 J}-{d}
       3        0   {a n}-{ncc}
       3        0   {and}-{4}
       3        0   {and}-{qꝗ◌ᷓ}
       3        0   {and}-{— ⏑}
       3        0   {ce}-{ſſi}
       3        0   {del}-{Jcſ}
       3        0   {e}-{c}
       3        0   {her}-{ſc}
       3        0   {lie}-{nc}
       3        0   {nd}-{dq◌ᷓ}
       3        0   {the}-{cc}
       3        0   {tus}-{— ⏑}
       3        0   {t}-{c}
       3        0   {who}-{—}
       3        0   {w}-{v}
       2        0   {Th}-{}
       2        0   {al}-{A}
       2        0   {co}-{S}
       2        0   {co}-{}
       2        0   {do}-{46}
       2        0   {es}-{}
       2        0   {ev}-{c}
       2        0   {j.}-{ 9}
       2        0   {pl}-{ſi}
       2        0   {r}-{ſt}
       2        0   {th}-{W}
       2        0   {th}-{in}
       2        0   {th}-{mn}
       2        0   {th}-{m}
       2        0   {th}-{n}
       2        0   {t}-{}
       2        0   {ue}-{ac}
       2        0   {un}-{da}
       2        0   {ve}-{J}
       2        0   {w.}-{u⸗}
       2        0   {wh}-{n}
       2        0   {}-{A }
       2        0   {ſa}-{fi}
       2        0   {ſe}-{f}
       2        0   {ſe}-{}
       2        0   {}-{ſi}
       2        0   {ﬁ}-{fi}
       1        0   { }-{s}
       1        0   {,}-{.}
       1        0   {,}-{—}
       1        0   {.}-{ }
       1        0   {.}-{·}
       1        0   {1}-{i}
       1        0   {3}-{}
       1        0   {5}-{3}
       1        0   {5}-{S}
       1        0   {I}-{i}
       1        0   {I}-{l}
       1        0   {I}-{ſ}
       1        0   {P}-{p}
       1        0   {a}-{}
       1        0   {a}-{à}
       1        0   {b}-{d}
       1        0   {c}-{S}
       1        0   {d}-{q}
       1        0   {g}-{S}
       1        0   {h}-{k}
       1        0   {h}-{n}
       1        0   {h}-{}
       1        0   {i}-{ĩ}
       1        0   {k}-{t}
       1        0   {l}-{ſ}
       1        0   {m}-{c}
       1        0   {m}-{n}
       1        0   {m}-{}
       1        0   {n}-{a}
       1        0   {n}-{g}
       1        0   {n}-{r}
       1        0   {n}-{u}
       1        0   {n}-{}
       1        0   {n}-{ũ}
       1        0   {o}-{}
       1        0   {r}-{t}
       1        0   {s}-{}
       1        0   {t}-{f}
       1        0   {u}-{d}
       1        0   {u}-{ũ}
       1        0   {v}-{2}
       1        0   {v}-{c}
       1        0   {v}-{}
       1        0   {w}-{m}
       1        0   {w}-{n}
