groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,"19349","13344","0.2574810067703757","minute où il fut ainsi mortellement frappé","006d,0069,006e,0075,0074,0065,0020,006f,00f9,0020,0069,006c,0020,0066,0075,0074,0020,0061,0069,006e,0073,0069,0020,006d,006f,0072,0074,0065,006c,006c,0065,006d,0065,006e,0074,0020,0066,0072,0061,0070,0070,00e9","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,," assassiné","0020,0061,0073,0073,0061,0073,0073,0069,006e,00e9","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,,"de la France républicaine et du socia-","0064,0065,0020,006c,0061,0020,0046,0072,0061,006e,0063,0065,0020,0072,00e9,0070,0075,0062,006c,0069,0063,0061,0069,006e,0065,0020,0065,0074,0020,0064,0075,0020,0073,006f,0063,0069,0061,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,,"EME ANN","0045,004d,0045,0020,0041,004e,004e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,," la-","0020,006c,0061,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,,"viril et lucide effort, le gouverne- ","0076,0069,0072,0069,006c,0020,0065,0074,0020,006c,0075,0063,0069,0064,0065,0020,0065,0066,0066,006f,0072,0074,002c,0020,006c,0065,0020,0067,006f,0075,0076,0065,0072,006e,0065,002d,0020","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,,"
sons à sa famille, au Par","000a,0073,006f,006e,0073,0020,00e0,0020,0073,0061,0020,0066,0061,006d,0069,006c,006c,0065,002c,0020,0061,0075,0020,0050,0061,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,,"NZI","004e,005a,0049","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/00674773.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/enp_missing/ocr_results_cleaned/00674773-00230619.fra.xml.txt,,,," Jaurès","0020,004a,0061,0075,0072,00e8,0073","","","none","1"
