groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,"25015","25943","0.2077953228063162","
tatiehallitus on wirasta erottanut reis","000a,0074,0061,0074,0069,0065,0068,0061,006c,006c,0069,0074,0075,0073,0020,006f,006e,0020,0077,0069,0072,0061,0073,0074,0061,0020,0065,0072,006f,0074,0074,0061,006e,0075,0074,0020,0072,0065,0069,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"
tarkastajia on ollut liian harwoja,","000a,0074,0061,0072,006b,0061,0073,0074,0061,006a,0069,0061,0020,006f,006e,0020,006f,006c,006c,0075,0074,0020,006c,0069,0069,0061,006e,0020,0068,0061,0072,0077,006f,006a,0061,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"
teiden johdosta tilattoman maalais","000a,0074,0065,0069,0064,0065,006e,0020,006a,006f,0068,0064,006f,0073,0074,0061,0020,0074,0069,006c,0061,0074,0074,006f,006d,0061,006e,0020,006d,0061,0061,006c,0061,0069,0073","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,," oltaisiin valmiit lainalaista vapa","0020,006f,006c,0074,0061,0069,0073,0069,0069,006e,0020,0076,0061,006c,006d,0069,0069,0074,0020,006c,0061,0069,006e,0061,006c,0061,0069,0073,0074,0061,0020,0076,0061,0070,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"
ole liian nuorina wedettäwä teolli","000a,006f,006c,0065,0020,006c,0069,0069,0061,006e,0020,006e,0075,006f,0072,0069,006e,0061,0020,0077,0065,0064,0065,0074,0074,00e4,0077,00e4,0020,0074,0065,006f,006c,006c,0069","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"
Semenof tulee piakkoin eroomaan","000a,0053,0065,006d,0065,006e,006f,0066,0020,0074,0075,006c,0065,0065,0020,0070,0069,0061,006b,006b,006f,0069,006e,0020,0065,0072,006f,006f,006d,0061,0061,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"
le. Sittekun Lappeenrannan rouwa","000a,006c,0065,002e,0020,0053,0069,0074,0074,0065,006b,0075,006e,0020,004c,0061,0070,0070,0065,0065,006e,0072,0061,006e,006e,0061,006e,0020,0072,006f,0075,0077,0061","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"anomat alusta alkaen on ryhty-","0061,006e,006f,006d,0061,0074,0020,0061,006c,0075,0073,0074,0061,0020,0061,006c,006b,0061,0065,006e,0020,006f,006e,0020,0072,0079,0068,0074,0079,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"
Turun rahatoimikamari, marrask. 30","000a,0054,0075,0072,0075,006e,0020,0072,0061,0068,0061,0074,006f,0069,006d,0069,006b,0061,006d,0061,0072,0069,002c,0020,006d,0061,0072,0072,0061,0073,006b,002e,0020,0033,0030","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/TextEval_1.5/rest/00675329-00231312.gt4hist.xml.txt,,,,"ille työntekijöille tehdas. ja kä","0069,006c,006c,0065,0020,0074,0079,00f6,006e,0074,0065,006b,0069,006a,00f6,0069,006c,006c,0065,0020,0074,0065,0068,0064,0061,0073,002e,0020,006a,0061,0020,006b,00e4","","","none","1"
