ocreval Word Accuracy Report Version 7.0
----------------------------------------
     221   Words
      61   Misrecognized
   72.40%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       9        1    88.89        2
       9        1    88.89    Total

Non-stopwords
   Count   Missed   %Right   Length
       2        0   100.00        1
      21        4    80.95        2
      67       14    79.10        3
      33       11    66.67        4
      17        4    76.47        5
      26        9    65.38        6
      10        0   100.00        7
      12        5    58.33        8
      11        4    63.64        9
       7        3    57.14       10
       2        2     0.00       11
       1        1     0.00       12
       2        2     0.00       13
       1        1     0.00       14
     212       60    71.70    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
     115       40    65.22        1
      22        2    90.91        2
      10        2    80.00        3
       1        0   100.00        4
       1        0   100.00        5
       1        0   100.00        6
       1        0   100.00        8
     151       44    70.86    Total

Phrases
   Count   Missed   %Right   Length
     221       61    72.40        1
     220      101    54.09        2
     219      127    42.01        3
     218      145    33.49        4
     217      160    26.27        5
     216      171    20.83        6
     215      178    17.21        7
     214      183    14.49        8

Stopwords
   Count   Missed   %Right   
       6        0   100.00   in
       2        0   100.00   is
       1        1     0.00   us

Non-stopwords
   Count   Missed   %Right   
       3        0   100.00   aan
       1        0   100.00   aanbieding
       1        0   100.00   agte
       1        0   100.00   algemeene
       1        0   100.00   alle
       2        0   100.00   als
       1        0   100.00   alzoo
       1        0   100.00   andere
       1        0   100.00   anders
       2        0   100.00   apostelen
       1        1     0.00   aﬂeggen
       1        0   100.00   band
       1        0   100.00   bedreiging
       1        0   100.00   begrip
       1        0   100.00   belang
       1        1     0.00   beteekenis
       1        1     0.00   beweegredenen
       1        1     0.00   bondsbediening
       1        0   100.00   chri
       3        2    33.33   christenen
       2        1    50.00   christus
       1        1     0.00   daar
       1        0   100.00   dan
       2        0   100.00   dat
       8        0   100.00   de
       1        1     0.00   deelen
       1        0   100.00   delt
       5        0   100.00   den
       2        0   100.00   der
       1        0   100.00   des
       4        0   100.00   die
       1        0   100.00   dig
       1        0   100.00   dit
       1        0   100.00   doop
       3        0   100.00   door
       1        1     0.00   dunkt
       1        1     0.00   een
       2        1    50.00   eene
       1        0   100.00   egter
       6        0   100.00   en
       1        1     0.00   enz
       1        1     0.00   euangeliſche
       1        0   100.00   gaan
       1        0   100.00   gaande
       1        0   100.00   gebragt
       1        0   100.00   geen
       1        1     0.00   geest
       1        0   100.00   gehoord
       1        0   100.00   gehouden
       1        0   100.00   gekomen
       2        0   100.00   geleerd
       2        2     0.00   gelijk
       1        1     0.00   gemoedelijk
       1        0   100.00   gemoeds
       1        1     0.00   gevoel
       3        0   100.00   gij
       2        1    50.00   god
       1        0   100.00   h
       1        0   100.00   haalden
       1        0   100.00   hebben
       2        0   100.00   hebt
       1        0   100.00   heer
       1        0   100.00   heidenen
       2        0   100.00   hem
       1        0   100.00   hen
       1        0   100.00   het
       1        0   100.00   hier
       2        0   100.00   hun
       1        0   100.00   hunne
       1        0   100.00   hunnen
       1        0   100.00   hunnes
       1        0   100.00   ijdelheid
       2        2     0.00   ik
       1        0   100.00   indien
       1        0   100.00   innig
       2        0   100.00   jeſus
       1        1     0.00   kan
       1        1     0.00   kennelijk
       1        1     0.00   koning
       1        1     0.00   kun
       1        0   100.00   le
       1        1     0.00   leerwijs
       1        0   100.00   loofd
       1        0   100.00   los
       1        0   100.00   maar
       1        0   100.00   maning
       2        0   100.00   mensch
       1        0   100.00   met
       3        2    33.33   mij
       1        0   100.00   nadeel
       1        1     0.00   namelijk
       1        0   100.00   nen
       2        0   100.00   niet
       2        0   100.00   nog
       1        1     0.00   nu
       1        0   100.00   onder
       1        0   100.00   ongeoor
       1        0   100.00   oor
       1        0   100.00   ouden
       1        1     0.00   prediking
       1        1     0.00   predikwijze
       1        0   100.00   reeds
       1        1     0.00   reeks
       1        1     0.00   regt
       1        0   100.00   rigtten
       1        1     0.00   rij
       1        0   100.00   t
       2        0   100.00   te
       3        0   100.00   tegen
       1        1     0.00   tegenwoordig
       1        0   100.00   ter
       1        0   100.00   toe
       2        0   100.00   tog
       1        0   100.00   toonden
       2        0   100.00   tot
       1        0   100.00   uit
       3        0   100.00   van
       1        1     0.00   veel
       2        0   100.00   ver
       1        0   100.00   veranderen
       1        0   100.00   verbonden
       1        0   100.00   verbonds
       1        0   100.00   verdorven
       1        0   100.00   voor
       1        1     0.00   voorreden
       1        0   100.00   vorige
       2        1    50.00   waar
       1        0   100.00   waarheid
       1        1     0.00   waarlijk
       1        1     0.00   waarom
       1        0   100.00   wandeling
       1        1     0.00   ware
       1        1     0.00   waren
       1        1     0.00   welken
       1        1     0.00   worden
       1        0   100.00   wordt
       1        1     0.00   xx
       1        0   100.00   zal
       1        1     0.00   zelven
       1        1     0.00   zien
       3        2    33.33   zij
       3        3     0.00   zijn
       1        0   100.00   zijt
       1        0   100.00   zonder
       1        1     0.00   zoo
       1        0   100.00   zoodanig
       1        1     0.00   zoudenwe
       1        0   100.00   zoudt
       1        1     0.00   zulk
       1        0   100.00   ſchijnt
       3        3     0.00   
