groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,"13724","14519","0.33605362867968525","ywatelskie stanowisko b. pracowników miejskich","0079,0077,0061,0074,0065,006c,0073,006b,0069,0065,0020,0073,0074,0061,006e,006f,0077,0069,0073,006b,006f,0020,0062,002e,0020,0070,0072,0061,0063,006f,0077,006e,0069,006b,00f3,0077,0020,006d,0069,0065,006a,0073,006b,0069,0063,0068","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
zażył truciznę i został przewieziony do","000a,007a,0061,017c,0079,0142,0020,0074,0072,0075,0063,0069,007a,006e,0119,0020,0069,0020,007a,006f,0073,0074,0061,0142,0020,0070,0072,007a,0065,0077,0069,0065,007a,0069,006f,006e,0079,0020,0064,006f","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
proc.) 81 (w proc.), 5 i pół proc. listy","000a,0070,0072,006f,0063,002e,0029,0020,0038,0031,0020,0028,0077,0020,0070,0072,006f,0063,002e,0029,002c,0020,0035,0020,0069,0020,0070,00f3,0142,0020,0070,0072,006f,0063,002e,0020,006c,0069,0073,0074,0079","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
stę 47-letniego Ignacego Paskę (Napiór","000a,0073,0074,0119,0020,0034,0037,002d,006c,0065,0074,006e,0069,0065,0067,006f,0020,0049,0067,006e,0061,0063,0065,0067,006f,0020,0050,0061,0073,006b,0119,0020,0028,004e,0061,0070,0069,00f3,0072","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
rzeźnickiego przy ul. Piotrkowskiej 117","000a,0072,007a,0065,017a,006e,0069,0063,006b,0069,0065,0067,006f,0020,0070,0072,007a,0079,0020,0075,006c,002e,0020,0050,0069,006f,0074,0072,006b,006f,0077,0073,006b,0069,0065,006a,0020,0031,0031,0037","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
wersyjna 63 (setki) 62, 4 proc. dolaro-","000a,0077,0065,0072,0073,0079,006a,006e,0061,0020,0036,0033,0020,0028,0073,0065,0074,006b,0069,0029,0020,0036,0032,002c,0020,0034,0020,0070,0072,006f,0063,002e,0020,0064,006f,006c,0061,0072,006f,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
ku 57 (drobne) 58, 5 proc. listy zastaw-","000a,006b,0075,0020,0035,0037,0020,0028,0064,0072,006f,0062,006e,0065,0029,0020,0035,0038,002c,0020,0035,0020,0070,0072,006f,0063,002e,0020,006c,0069,0073,0074,0079,0020,007a,0061,0073,0074,0061,0077,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
ny przez auto 17-letni Stanisław Bed-","000a,006e,0079,0020,0070,0072,007a,0065,007a,0020,0061,0075,0074,006f,0020,0031,0037,002d,006c,0065,0074,006e,0069,0020,0053,0074,0061,006e,0069,0073,0142,0061,0077,0020,0042,0065,0064,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
nów targnął się na życie kupiec 46-let","000a,006e,00f3,0077,0020,0074,0061,0072,0067,006e,0105,0142,0020,0073,0069,0119,0020,006e,0061,0020,017c,0079,0063,0069,0065,0020,006b,0075,0070,0069,0065,0063,0020,0034,0036,002d,006c,0065,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
napadnięty na ulicy i ciężko poraniony","000a,006e,0061,0070,0061,0064,006e,0069,0119,0074,0079,0020,006e,0061,0020,0075,006c,0069,0063,0079,0020,0069,0020,0063,0069,0119,017c,006b,006f,0020,0070,006f,0072,0061,006e,0069,006f,006e,0079","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
lekceważące wyrażenie się o władzach","000a,006c,0065,006b,0063,0065,0077,0061,017c,0105,0063,0065,0020,0077,0079,0072,0061,017c,0065,006e,0069,0065,0020,0073,0069,0119,0020,006f,0020,0077,0142,0061,0064,007a,0061,0063,0068","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
centowa inwestycyjna I em. 70, 3 proc.","000a,0063,0065,006e,0074,006f,0077,0061,0020,0069,006e,0077,0065,0073,0074,0079,0063,0079,006a,006e,0061,0020,0049,0020,0065,006d,002e,0020,0037,0030,002c,0020,0033,0020,0070,0072,006f,0063,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
wa 35,25, 5 proc. kolejowa 61 (drobne)","000a,0077,0061,0020,0033,0035,002c,0032,0035,002c,0020,0035,0020,0070,0072,006f,0063,002e,0020,006b,006f,006c,0065,006a,006f,0077,0061,0020,0036,0031,0020,0028,0064,0072,006f,0062,006e,0065,0029","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00762384-00232803.pol.xml.txt,,,,"
niej 8 i 7 proc.) 81, 6 proc. obligacje","000a,006e,0069,0065,006a,0020,0038,0020,0069,0020,0037,0020,0070,0072,006f,0063,002e,0029,0020,0038,0031,002c,0020,0036,0020,0070,0072,006f,0063,002e,0020,006f,0062,006c,0069,0067,0061,0063,006a,0065","","","none","1"
