groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,"18322","20735","0.5166466542953826","
all these things during the short time I had been in my tent,","000a,0061,006c,006c,0020,0074,0068,0065,0073,0065,0020,0074,0068,0069,006e,0067,0073,0020,0064,0075,0072,0069,006e,0067,0020,0074,0068,0065,0020,0073,0068,006f,0072,0074,0020,0074,0069,006d,0065,0020,0049,0020,0068,0061,0064,0020,0062,0065,0065,006e,0020,0069,006e,0020,006d,0079,0020,0074,0065,006e,0074,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
eight miles further, and at three in the morning of the 10th","000a,0065,0069,0067,0068,0074,0020,006d,0069,006c,0065,0073,0020,0066,0075,0072,0074,0068,0065,0072,002c,0020,0061,006e,0064,0020,0061,0074,0020,0074,0068,0072,0065,0065,0020,0069,006e,0020,0074,0068,0065,0020,006d,006f,0072,006e,0069,006e,0067,0020,006f,0066,0020,0074,0068,0065,0020,0031,0030,0074,0068","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
citizen died on the 4th inst., at his estate at Chateauvieux,","000a,0063,0069,0074,0069,007a,0065,006e,0020,0064,0069,0065,0064,0020,006f,006e,0020,0074,0068,0065,0020,0034,0074,0068,0020,0069,006e,0073,0074,002e,002c,0020,0061,0074,0020,0068,0069,0073,0020,0065,0073,0074,0061,0074,0065,0020,0061,0074,0020,0043,0068,0061,0074,0065,0061,0075,0076,0069,0065,0075,0078,002c","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
however feverish and restless, and could not close my eyes.","000a,0068,006f,0077,0065,0076,0065,0072,0020,0066,0065,0076,0065,0072,0069,0073,0068,0020,0061,006e,0064,0020,0072,0065,0073,0074,006c,0065,0073,0073,002c,0020,0061,006e,0064,0020,0063,006f,0075,006c,0064,0020,006e,006f,0074,0020,0063,006c,006f,0073,0065,0020,006d,0079,0020,0065,0079,0065,0073,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
also the piece of canvas I had put on the ground to lie down","000a,0061,006c,0073,006f,0020,0074,0068,0065,0020,0070,0069,0065,0063,0065,0020,006f,0066,0020,0063,0061,006e,0076,0061,0073,0020,0049,0020,0068,0061,0064,0020,0070,0075,0074,0020,006f,006e,0020,0074,0068,0065,0020,0067,0072,006f,0075,006e,0064,0020,0074,006f,0020,006c,0069,0065,0020,0064,006f,0077,006e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
screen for a considerable number of natives. In daylight it","000a,0073,0063,0072,0065,0065,006e,0020,0066,006f,0072,0020,0061,0020,0063,006f,006e,0073,0069,0064,0065,0072,0061,0062,006c,0065,0020,006e,0075,006d,0062,0065,0072,0020,006f,0066,0020,006e,0061,0074,0069,0076,0065,0073,002e,0020,0049,006e,0020,0064,0061,0079,006c,0069,0067,0068,0074,0020,0069,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
a regulation of this kind for steamers, collisions of which","000a,0061,0020,0072,0065,0067,0075,006c,0061,0074,0069,006f,006e,0020,006f,0066,0020,0074,0068,0069,0073,0020,006b,0069,006e,0064,0020,0066,006f,0072,0020,0073,0074,0065,0061,006d,0065,0072,0073,002c,0020,0063,006f,006c,006c,0069,0073,0069,006f,006e,0073,0020,006f,0066,0020,0077,0068,0069,0063,0068","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
eat the dry and withered grass around us. We now lay","000a,0065,0061,0074,0020,0074,0068,0065,0020,0064,0072,0079,0020,0061,006e,0064,0020,0077,0069,0074,0068,0065,0072,0065,0064,0020,0067,0072,0061,0073,0073,0020,0061,0072,006f,0075,006e,0064,0020,0075,0073,002e,0020,0057,0065,0020,006e,006f,0077,0020,006c,0061,0079","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
quantity of water after rains, but was now without a single","000a,0071,0075,0061,006e,0074,0069,0074,0079,0020,006f,0066,0020,0077,0061,0074,0065,0072,0020,0061,0066,0074,0065,0072,0020,0072,0061,0069,006e,0073,002c,0020,0062,0075,0074,0020,0077,0061,0073,0020,006e,006f,0077,0020,0077,0069,0074,0068,006f,0075,0074,0020,0061,0020,0073,0069,006e,0067,006c,0065","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
poor boy was so tired and sleepy that he could scarcely sit","000a,0070,006f,006f,0072,0020,0062,006f,0079,0020,0077,0061,0073,0020,0073,006f,0020,0074,0069,0072,0065,0064,0020,0061,006e,0064,0020,0073,006c,0065,0065,0070,0079,0020,0074,0068,0061,0074,0020,0068,0065,0020,0063,006f,0075,006c,0064,0020,0073,0063,0061,0072,0063,0065,006c,0079,0020,0073,0069,0074","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00008144.eng.xml.txt,,,,"
Searching a little more, I missed a spade, a parcel of horse","000a,0053,0065,0061,0072,0063,0068,0069,006e,0067,0020,0061,0020,006c,0069,0074,0074,006c,0065,0020,006d,006f,0072,0065,002c,0020,0049,0020,006d,0069,0073,0073,0065,0064,0020,0061,0020,0073,0070,0061,0064,0065,002c,0020,0061,0020,0070,0061,0072,0063,0065,006c,0020,006f,0066,0020,0068,006f,0072,0073,0065","","","none","1"
