groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,LCSCharStats Ground Truth Item,LCSCharStats Ground Truth Unicode,LCSCharStats OCR Result Item,LCSCharStats OCR Result Unicode,LCSCharStats OCR Error,LCSCharStats Count
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,"1699","1771","0.9228958210712184","
padsmit weršku garu un diweju plotu un krystyniski porgriz-","000a,0070,0061,0064,0073,006d,0069,0074,0020,0077,0065,0072,0161,006b,0075,0020,0067,0061,0072,0075,0020,0075,006e,0020,0064,0069,0077,0065,006a,0075,0020,0070,006c,006f,0074,0075,0020,0075,006e,0020,006b,0072,0079,0073,0074,0079,006e,0069,0073,006b,0069,0020,0070,006f,0072,0067,0072,0069,007a,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"
dzelža wai wara kastiti ar naaugstom molom, apmaram diwi-","000a,0064,007a,0065,006c,017e,0061,0020,0077,0061,0069,0020,0077,0061,0072,0061,0020,006b,0061,0073,0074,0069,0074,0069,0020,0061,0072,0020,006e,0061,0061,0075,0067,0073,0074,006f,006d,0020,006d,006f,006c,006f,006d,002c,0020,0061,0070,006d,0061,0072,0061,006d,0020,0064,0069,0077,0069,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,," uz četrom leidzonom daliom tad izis četras burtu","0020,0075,007a,0020,010d,0065,0074,0072,006f,006d,0020,006c,0065,0069,0064,007a,006f,006e,006f,006d,0020,0064,0061,006c,0069,006f,006d,0020,0074,0061,0064,0020,0069,007a,0069,0073,0020,010d,0065,0074,0072,0061,0073,0020,0062,0075,0072,0074,0075","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"
ruku jem nu mozom kastitem burtus un lik jus burtu","000a,0072,0075,006b,0075,0020,006a,0065,006d,0020,006e,0075,0020,006d,006f,007a,006f,006d,0020,006b,0061,0073,0074,0069,0074,0065,006d,0020,0062,0075,0072,0074,0075,0073,0020,0075,006e,0020,006c,0069,006b,0020,006a,0075,0073,0020,0062,0075,0072,0074,0075","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"",""," - ","0020,002d,0020","false detection","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"
sim ju","000a,0073,0069,006d,0020,006a,0075"," 
sim ju:","0020,000a,0073,0069,006d,0020,006a,0075,003a","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"karutes.","006b,0061,0072,0075,0074,0065,0073,002e","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"
cik sowaidu tipografijas strodniku — burtliču sa-","000a,0063,0069,006b,0020,0073,006f,0077,0061,0069,0064,0075,0020,0074,0069,0070,006f,0067,0072,0061,0066,0069,006a,0061,0073,0020,0073,0074,0072,006f,0064,006e,0069,006b,0075,0020,2014,0020,0062,0075,0072,0074,006c,0069,010d,0075,0020,0073,0061,002d","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"
karute ir pilykta pylna, tad salyktajs šrifts teik","000a,006b,0061,0072,0075,0074,0065,0020,0069,0072,0020,0070,0069,006c,0079,006b,0074,0061,0020,0070,0079,006c,006e,0061,002c,0020,0074,0061,0064,0020,0073,0061,006c,0079,006b,0074,0061,006a,0073,0020,0161,0072,0069,0066,0074,0073,0020,0074,0065,0069,006b","","","none","1"
/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655.gt.xml.txt,/home/cnd/tmp/dev/ocr_eval_paper/enp/00674655-00230430.lav.xml.txt,,,,"
","000a"," 
> ","0020,000a,003e,0020","none","1"
